match_id,date,event_time,tournament,surface,round,playerA,playerB,oddsA,oddsB,status,score,live_game,winner_side,playerA_raw,playerB_raw,tournament_raw,playerA_logo_url,playerB_logo_url,n_books
12128205,2026-05-18,07:40,Bengaluru 3 (India) - Qualification,Hard,Bengaluru 3 - Final,A. Kshitij,N. K. Sinha,,,Finished,2 - 0,-,First Player,A. Kshitij,N. K. Sinha,Bengaluru 3 (India) - Qualification,,https://api.api-tennis.com/logo-tennis/18088_n-k-sinha.jpg,
12128206,2026-05-18,07:40,Bengaluru 3 (India) - Qualification,Hard,Bengaluru 3 - Final,A. Vales,N. Honda,1.92,1.77,Finished,0 - 2,-,Second Player,A. Vales,N. Honda,Bengaluru 3 (India) - Qualification,https://api.api-tennis.com/logo-tennis/35790_a-vales.jpg,https://api.api-tennis.com/logo-tennis/39537_n-honda.jpg,10.0
12128204,2026-05-18,07:40,Bengaluru 3 (India) - Qualification,Hard,Bengaluru 3 - Final,J. Charlton,C. Papa,1.395,2.755,Finished,0 - 2,-,Second Player,J. Charlton,C. Papa,Bengaluru 3 (India) - Qualification,https://api.api-tennis.com/logo-tennis/10215_j-charlton.jpg,,10.0
12128260,2026-05-18,09:20,Bengaluru 3 (India) - Qualification,Hard,Bengaluru 3 - Final,R. Taguchi,G. Lomakin,1.22,3.8,Finished,1 - 2,-,Second Player,R. Taguchi,G. Lomakin,Bengaluru 3 (India) - Qualification,https://api.api-tennis.com/logo-tennis/38831_r-tagushi.jpg,https://api.api-tennis.com/logo-tennis/1869_g-lomakin.jpg,9.0
12128261,2026-05-18,10:00,Bengaluru 3 (India) - Qualification,Hard,Bengaluru 3 - Final,T. Chanta,D. Javia,1.75,1.95,Finished,2 - 0,-,First Player,T. Chanta,D. Javia,Bengaluru 3 (India) - Qualification,https://api.api-tennis.com/logo-tennis/10126_t-chanta.jpg,https://api.api-tennis.com/logo-tennis/939_d-javia.jpg,10.0
12128259,2026-05-18,09:25,Bengaluru 3 (India) - Qualification,Hard,Bengaluru 3 - Final,T. Yamanaka,R. Karki,1.805,1.885,Finished,2 - 0,-,First Player,T. Yamanaka,R. Karki,Bengaluru 3 (India) - Qualification,https://api.api-tennis.com/logo-tennis/13371_t-yamanaka.jpg,,10.0
12128171,2026-05-18,16:10,Cervia (Italy) - Qualification,Hard,Cervia - 1/16-finals,B. Gadamauri,C. Cretu,1.91,1.8,Finished,2 - 0,-,First Player,B. Gadamauri,C. Cretu,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/12832_b-gadamauri.jpg,https://api.api-tennis.com/logo-tennis/972_c-cretu.jpg,11.0
12128264,2026-05-18,13:05,Cervia (Italy) - Qualification,Hard,Cervia - Final,E. Dalla Valle,L. Potenza,1.19,4.15,Finished,2 - 0,-,First Player,E. Dalla Valle,L. Potenza,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/5675_e-dalla-valle.jpg,https://api.api-tennis.com/logo-tennis/2235_l-potenza.jpg,9.0
12128207,2026-05-18,11:10,Cervia (Italy) - Qualification,Hard,Cervia - Final,F. Arnaboldi,G. Tabacco,1.3450000000000002,2.975,Finished,2 - 0,-,First Player,F. Arnaboldi,G. Tabacco,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/1240_f-arnaboldi.jpg,https://api.api-tennis.com/logo-tennis/14127_g-tabacco.jpg,10.0
12128263,2026-05-18,13:10,Cervia (Italy) - Qualification,Hard,Cervia - Final,F. Forti,L. Carboni,1.54,2.315,Finished,2 - 1,-,First Player,F. Forti,L. Carboni,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/1191_f-forti.jpg,https://api.api-tennis.com/logo-tennis/49616_l-carboni.jpg,10.0
12128169,2026-05-18,15:30,Cervia (Italy) - Qualification,Hard,Cervia - 1/16-finals,G. A. Boitan,S. Rodriguez Taverna,,,Finished,2 - 0,-,First Player,G. A. Boitan,S. Rodriguez Taverna,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/9132_g-a-boitan.jpg,https://api.api-tennis.com/logo-tennis/361_s-rodriguez-taverna.jpg,
12128262,2026-05-18,12:40,Cervia (Italy) - Qualification,Hard,Cervia - Final,G. Oradini,M. Mazza,2.555,1.44,Finished,2 - 1,-,First Player,G. Oradini,M. Mazza,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/862_g-oradini.jpg,https://api.api-tennis.com/logo-tennis/695_m-mazza.jpg,10.0
12128170,2026-05-18,18:05,Cervia (Italy) - Qualification,Hard,Cervia - 1/16-finals,M. Dhamne,M. Krueger,2.05,1.7,Finished,2 - 1,-,First Player,M. Dhamne,M. Krueger,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/54470_m-dhamne.jpg,https://api.api-tennis.com/logo-tennis/1751_m-krueger.jpg,11.0
12128208,2026-05-18,11:10,Cervia (Italy) - Qualification,Hard,Cervia - Final,P. Nesterov,F. Iannaccone,1.71,2.005,Finished,0 - 2,-,Second Player,P. Nesterov,F. Iannaccone,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/9220_p-nesterov.jpg,https://api.api-tennis.com/logo-tennis/5673_f-iannaccone.jpg,10.0
12128174,2026-05-18,15:55,Cervia (Italy) - Qualification,Hard,Cervia - 1/16-finals,S. Kopp,M. Alcala Gurri,2.42,1.5,Finished,0 - 2,-,Second Player,S. Kopp,M. Alcala Gurri,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/848_s-kopp.jpg,https://api.api-tennis.com/logo-tennis/678_m-alcala-gurri.jpg,11.0
12128265,2026-05-18,11:10,Cervia (Italy) - Qualification,Hard,Cervia - Final,T. Compagnucci,D. Bagnolini,1.1349999999999998,5.0,Finished,2 - 0,-,First Player,T. Compagnucci,D. Bagnolini,Cervia (Italy) - Qualification,https://api.api-tennis.com/logo-tennis/851_t-compagnucci.jpg,https://api.api-tennis.com/logo-tennis/858_d-bagnolini.jpg,10.0
12128289,2026-05-18,16:45,French Open,Clay,ATP French Open - Quarter-finals,A. Barrena,A. Galarneau,1.57,2.31,Finished,1 - 2,-,Second Player,A. Barrena,A. Galarneau,French Open,https://api.api-tennis.com/logo-tennis/1324_a-barrena.jpg,https://api.api-tennis.com/logo-tennis/557_a-galarneau.jpg,10.0
12128316,2026-05-18,15:25,French Open,Clay,WTA French Open - Quarter-finals,A. Falei,L. Pigato,3.325,1.3,Finished,0 - 2,-,Second Player,A. Falei,L. Pigato,French Open,https://api.api-tennis.com/logo-tennis/9265_a-falei.jpg,https://api.api-tennis.com/logo-tennis/230_l-pigato.jpg,10.0
12128271,2026-05-18,10:10,French Open,Clay,ATP French Open - Quarter-finals,A. Ghibaudo,M. Zheng,2.265,1.585,Finished,0 - 2,-,Second Player,A. Ghibaudo,M. Zheng,French Open,https://api.api-tennis.com/logo-tennis/9234_a-ghibaudo.jpg,https://api.api-tennis.com/logo-tennis/9515_m-zheng.jpg,10.0
12128325,2026-05-18,17:50,French Open,Clay,WTA French Open - Quarter-finals,A. Korneeva,N. Hibino,1.145,5.0,Finished,2 - 0,-,First Player,A. Korneeva,N. Hibino,French Open,https://api.api-tennis.com/logo-tennis/14547_a-korneeva.jpg,https://api.api-tennis.com/logo-tennis/465_n-hibino.jpg,10.0
12128293,2026-05-18,18:25,French Open,Clay,ATP French Open - Quarter-finals,A. Moro Canas,S. Napolitano,1.765,2.0,Finished,2 - 1,-,First Player,A. Moro Canas,S. Napolitano,French Open,https://api.api-tennis.com/logo-tennis/1331_a-moro-canas.jpg,https://api.api-tennis.com/logo-tennis/3915_s-napolitano.jpg,10.0
12128273,2026-05-18,10:10,French Open,Clay,ATP French Open - Quarter-finals,A. Pellegrino,N. Moreno De Alboran,1.1549999999999998,4.95,Finished,2 - 0,-,First Player,A. Pellegrino,N. Moreno De Alboran,French Open,https://api.api-tennis.com/logo-tennis/2001_a-pellegrino.jpg,https://api.api-tennis.com/logo-tennis/1179_n-moreno-de-alboran.jpg,10.0
12128326,2026-05-18,18:35,French Open,Clay,WTA French Open - Quarter-finals,A. Rus,J. Ortenzi,2.2,1.64,Finished,1 - 2,-,Second Player,A. Rus,J. Ortenzi,French Open,https://api.api-tennis.com/logo-tennis/508_a-rus.jpg,https://api.api-tennis.com/logo-tennis/224_j-ortenzi.jpg,10.0
12128320,2026-05-18,14:55,French Open,Clay,WTA French Open - Quarter-finals,A. S. Sanchez,L. Romero Gormaz,,,Finished,0 - 2,-,Second Player,A. S. Sanchez,L. Romero Gormaz,French Open,https://api.api-tennis.com/logo-tennis/123_a-s-sanchez.jpg,https://api.api-tennis.com/logo-tennis/141_l-romero-gormaz.jpg,
12128332,2026-05-18,19:45,French Open,Clay,WTA French Open - Quarter-finals,A. Sasnovich,W. Osuigwe,1.33,3.185,Finished,2 - 0,-,First Player,A. Sasnovich,W. Osuigwe,French Open,https://api.api-tennis.com/logo-tennis/527_a-sasnovich.jpg,https://api.api-tennis.com/logo-tennis/1431_w-osuigwe.jpg,10.0
12128296,2026-05-18,18:40,French Open,Clay,ATP French Open - Quarter-finals,B. Tomic,M. Echargui,2.275,1.59,Finished,2 - 1,-,First Player,B. Tomic,M. Echargui,French Open,https://api.api-tennis.com/logo-tennis/3145_b-tomic.jpg,https://api.api-tennis.com/logo-tennis/1207_m-echargui.jpg,8.0
12128297,2026-05-18,18:10,French Open,Clay,ATP French Open - Quarter-finals,C. Broom,U. Blanchet,3.575,1.28,Finished,1 - 2,-,Second Player,C. Broom,U. Blanchet,French Open,https://api.api-tennis.com/logo-tennis/745_c-broom.jpg,https://api.api-tennis.com/logo-tennis/1903_u-blanchet.jpg,10.0
12128278,2026-05-18,11:45,French Open,Clay,ATP French Open - Quarter-finals,D. Evans,D. Jade,2.38,1.54,Finished,0 - 2,-,Second Player,D. Evans,D. Jade,French Open,https://api.api-tennis.com/logo-tennis/2835_d-evans.jpg,https://api.api-tennis.com/logo-tennis/63427_d-jade.jpg,9.0
12128288,2026-05-18,14:15,French Open,Clay,ATP French Open - Quarter-finals,D. Goffin,C. H. Tseng,2.665,1.44,Finished,2 - 0,-,First Player,D. Goffin,C. H. Tseng,French Open,https://api.api-tennis.com/logo-tennis/2385_d-goffin.jpg,https://api.api-tennis.com/logo-tennis/389_c-h-tseng.jpg,10.0
12128331,2026-05-18,18:40,French Open,Clay,WTA French Open - Quarter-finals,D. Salkova,V. Podrez,2.125,1.665,Finished,2 - 0,-,First Player,D. Salkova,V. Podrez,French Open,https://api.api-tennis.com/logo-tennis/179_d-salkova.jpg,https://api.api-tennis.com/logo-tennis/40100_v-podrez.jpg,10.0
12128287,2026-05-18,15:15,French Open,Clay,ATP French Open - Quarter-finals,D. Svrcina,G. Den Ouden,1.3250000000000002,3.21,Finished,2 - 1,-,First Player,D. Svrcina,G. Den Ouden,French Open,https://api.api-tennis.com/logo-tennis/1754_d-svrcina.jpg,https://api.api-tennis.com/logo-tennis/1935_g-den-ouden.jpg,10.0
12128310,2026-05-18,11:45,French Open,Clay,WTA French Open - Quarter-finals,E. Gorgodze,T. Zidansek,4.5,1.18,Finished,1 - 2,-,Second Player,E. Gorgodze,T. Zidansek,French Open,https://api.api-tennis.com/logo-tennis/491_e-gorgodze.jpg,https://api.api-tennis.com/logo-tennis/2803_t-zidansek.jpg,9.0
12128305,2026-05-18,10:05,French Open,Clay,WTA French Open - Quarter-finals,E. Inisan,J. Avdeeva,3.695,1.255,Finished,0 - 2,-,Second Player,E. Inisan,J. Avdeeva,French Open,https://api.api-tennis.com/logo-tennis/40528_e-inisan.jpg,https://api.api-tennis.com/logo-tennis/14150_j-avdeeva.jpg,10.0
12128313,2026-05-18,12:45,French Open,Clay,WTA French Open - Quarter-finals,E. Yaneva,I. Begu,1.955,1.8,Finished,1 - 2,-,Second Player,E. Yaneva,I. Begu,French Open,https://api.api-tennis.com/logo-tennis/58227_e-yaneva.jpg,https://api.api-tennis.com/logo-tennis/2828_i-begu.jpg,10.0
12128292,2026-05-18,16:55,French Open,Clay,ATP French Open - Quarter-finals,F. Cina,Y. Watanuki,1.17,4.65,Finished,2 - 0,-,First Player,F. Cina,Y. Watanuki,French Open,https://api.api-tennis.com/logo-tennis/38264_f-cina.jpg,https://api.api-tennis.com/logo-tennis/1097_y-watanuki.jpg,10.0
12128277,2026-05-18,12:05,French Open,Clay,ATP French Open - Quarter-finals,F. Diaz Acosta,C. O'Connell,1.3,3.4,Finished,2 - 1,-,First Player,F. Diaz Acosta,C. O'Connell,French Open,https://api.api-tennis.com/logo-tennis/2002_f-diaz-acosta.jpg,https://api.api-tennis.com/logo-tennis/421_c-oaposconnell.jpg,10.0
12128285,2026-05-18,15:55,French Open,Clay,ATP French Open - Quarter-finals,F. Ferreira Silva,F. A. Gomez,1.635,2.2,Finished,1 - 2,-,Second Player,F. Ferreira Silva,F. A. Gomez,French Open,https://api.api-tennis.com/logo-tennis/585_f-ferreira-silva.jpg,https://api.api-tennis.com/logo-tennis/717_f-a-gomez.jpg,10.0
12128280,2026-05-18,11:40,French Open,Clay,ATP French Open - Quarter-finals,G. A. Olivieri,T. Faurel,1.6,2.25,Finished,0 - 2,-,Second Player,G. A. Olivieri,T. Faurel,French Open,https://api.api-tennis.com/logo-tennis/2407_g-a-olivieri.jpg,https://api.api-tennis.com/logo-tennis/65519_t-faurel.jpg,10.0
12128291,2026-05-18,17:45,French Open,Clay,ATP French Open - Quarter-finals,G. Bueno,F. Bax,1.74,2.03,Finished,2 - 0,-,First Player,G. Bueno,F. Bax,French Open,https://api.api-tennis.com/logo-tennis/9209_g-bueno.jpg,https://api.api-tennis.com/logo-tennis/2105_f-bax.jpg,10.0
