date,tourney,surface,round,playerA,playerB,rankA,rankB,oddsA,oddsB,score,comment,source_file,gender,winner,playerA_norm,playerB_norm,pA_implied_fair,pB_implied_fair
2000-01-03,Australian Hardcourt Championships,Hard,1st Round,Dosedel S.,Ljubicic I.,63.0,77,,,,Completed,allyears.csv,M,A,dosedel s.,ljubicic i.,,
2000-01-03,Qatar Open,Hard,1st Round,El Aynaoui Y.,Dupuis A.,33.0,78,,,,Completed,allyears.csv,M,A,el aynaoui y.,dupuis a.,,
2000-01-03,Qatar Open,Hard,1st Round,Cherkasov A.,Arazi H.,206.0,35,,,,Completed,allyears.csv,M,A,cherkasov a.,arazi h.,,
2000-01-03,Qatar Open,Hard,1st Round,Caratti C.,Heuberger I.,211.0,219,,,,Completed,allyears.csv,M,A,caratti c.,heuberger i.,,
2000-01-03,Qatar Open,Hard,1st Round,Berasategui A.,Al-Alawi S.K.,60.0,NR,,,,Completed,allyears.csv,M,A,berasategui a.,al-alawi s.k.,,
2000-01-03,Qatar Open,Hard,1st Round,Bastl G.,Novak J.,85.0,36,,,,Completed,allyears.csv,M,A,bastl g.,novak j.,,
2000-01-03,Gold Flake Open,Hard,The Final,Golmard J.,Hantschk M.,38.0,128,,,,Completed,allyears.csv,M,A,golmard j.,hantschk m.,,
2000-01-03,Gold Flake Open,Hard,Semifinals,Hantschk M.,Pioline C.,128.0,14,,,,Completed,allyears.csv,M,A,hantschk m.,pioline c.,,
2000-01-03,Gold Flake Open,Hard,Quarterfinals,Pioline C.,Sanguinetti D.,14.0,121,,,,Completed,allyears.csv,M,A,pioline c.,sanguinetti d.,,
2000-01-03,Gold Flake Open,Hard,Quarterfinals,Hantschk M.,Ketola T.,128.0,163,,,,Completed,allyears.csv,M,A,hantschk m.,ketola t.,,
2000-01-03,Gold Flake Open,Hard,Quarterfinals,Golmard J.,Delgado J.,38.0,162,,,,Completed,allyears.csv,M,A,golmard j.,delgado j.,,
2000-01-03,Gold Flake Open,Hard,Quarterfinals,Damm M.,Manta L.,104.0,117,,,,Completed,allyears.csv,M,A,damm m.,manta l.,,
2000-01-03,Gold Flake Open,Hard,2nd Round,Sanguinetti D.,Vinciguerra A.,121.0,99,,,,Completed,allyears.csv,M,A,sanguinetti d.,vinciguerra a.,,
2000-01-03,Gold Flake Open,Hard,2nd Round,Pioline C.,Paes L.,14.0,145,,,,Completed,allyears.csv,M,A,pioline c.,paes l.,,
2000-01-03,Gold Flake Open,Hard,2nd Round,Manta L.,Tabara M.,117.0,125,,,,Completed,allyears.csv,M,A,manta l.,tabara m.,,
2000-01-03,Gold Flake Open,Hard,2nd Round,Ketola T.,Vanek J.,163.0,160,,,,Completed,allyears.csv,M,A,ketola t.,vanek j.,,
2000-01-03,Gold Flake Open,Hard,2nd Round,Hantschk M.,Behrend T.,128.0,116,,,,Completed,allyears.csv,M,A,hantschk m.,behrend t.,,
2000-01-03,Gold Flake Open,Hard,2nd Round,Golmard J.,Jonsson F.,38.0,127,,,,Completed,allyears.csv,M,A,golmard j.,jonsson f.,,
2000-01-03,Gold Flake Open,Hard,2nd Round,Delgado J.,Stanoytchev O.,162.0,111,,,,Completed,allyears.csv,M,A,delgado j.,stanoytchev o.,,
2000-01-03,Gold Flake Open,Hard,2nd Round,Damm M.,Agenor R.,104.0,94,,,,Completed,allyears.csv,M,A,damm m.,agenor r.,,
2000-01-03,Qatar Open,Hard,1st Round,Gaudio G.,Luxa P.,73.0,174,,,,Completed,allyears.csv,M,A,gaudio g.,luxa p.,,
2000-01-03,Gold Flake Open,Hard,1st Round,Vinciguerra A.,Lopez-Moron A.,99.0,113,,,,Completed,allyears.csv,M,A,vinciguerra a.,lopez-moron a.,,
2000-01-03,Qatar Open,Hard,1st Round,Kiefer N.,Tarango J.,6.0,59,,,,Completed,allyears.csv,M,A,kiefer n.,tarango j.,,
2000-01-03,Qatar Open,Hard,1st Round,Santoro F.,Burgsmuller L.,32.0,138,,,,Completed,allyears.csv,M,A,santoro f.,burgsmuller l.,,
2000-01-03,Qatar Open,Hard,Semifinals,Schuettler R.,El Aynaoui Y.,47.0,33,,,,Completed,allyears.csv,M,A,schuettler r.,el aynaoui y.,,
2000-01-03,Qatar Open,Hard,Semifinals,Santoro F.,Kiefer N.,32.0,6,,,,Completed,allyears.csv,M,A,santoro f.,kiefer n.,,
2000-01-03,Qatar Open,Hard,Quarterfinals,Schuettler R.,Mirnyi M.,47.0,74,,,,Completed,allyears.csv,M,A,schuettler r.,mirnyi m.,,
2000-01-03,Qatar Open,Hard,Quarterfinals,Santoro F.,Bastl G.,32.0,85,,,,Completed,allyears.csv,M,A,santoro f.,bastl g.,,
2000-01-03,Qatar Open,Hard,Quarterfinals,Kiefer N.,Schalken S.,6.0,44,,,,Completed,allyears.csv,M,A,kiefer n.,schalken s.,,
2000-01-03,Qatar Open,Hard,Quarterfinals,El Aynaoui Y.,Tillstrom M.,33.0,83,,,,Completed,allyears.csv,M,A,el aynaoui y.,tillstrom m.,,
2000-01-03,Qatar Open,Hard,2nd Round,Tillstrom M.,Cherkasov A.,83.0,206,,,,Completed,allyears.csv,M,A,tillstrom m.,cherkasov a.,,
2000-01-03,Qatar Open,Hard,2nd Round,Schuettler R.,Vacek D.,47.0,39,,,,Completed,allyears.csv,M,A,schuettler r.,vacek d.,,
2000-01-03,Qatar Open,Hard,2nd Round,Schalken S.,Squillari F.,44.0,49,,,,Completed,allyears.csv,M,A,schalken s.,squillari f.,,
2000-01-03,Qatar Open,Hard,2nd Round,Santoro F.,van Lottum J.,32.0,69,,,,Completed,allyears.csv,M,A,santoro f.,van lottum j.,,
2000-01-03,Qatar Open,Hard,2nd Round,Mirnyi M.,Marin J.A.,74.0,71,,,,Completed,allyears.csv,M,A,mirnyi m.,marin j.a.,,
2000-01-03,Qatar Open,Hard,2nd Round,Kiefer N.,Caratti C.,6.0,211,,,,Completed,allyears.csv,M,A,kiefer n.,caratti c.,,
2000-01-03,Qatar Open,Hard,2nd Round,El Aynaoui Y.,Gaudio G.,33.0,73,,,,Completed,allyears.csv,M,A,el aynaoui y.,gaudio g.,,
2000-01-03,Qatar Open,Hard,2nd Round,Bastl G.,Berasategui A.,85.0,60,,,,Completed,allyears.csv,M,A,bastl g.,berasategui a.,,
2000-01-03,Qatar Open,Hard,1st Round,Vacek D.,Vicente F.,39.0,50,,,,Completed,allyears.csv,M,A,vacek d.,vicente f.,,
2000-01-03,Qatar Open,Hard,1st Round,Tillstrom M.,Ivanisevic G.,83.0,62,,,,Completed,allyears.csv,M,A,tillstrom m.,ivanisevic g.,,
