date,tourney,surface,round,playerA,playerB,rankA,rankB,oddsA,oddsB,score,comment,source_file,gender,winner,playerA_norm,playerB_norm,pA_implied_fair,pB_implied_fair
2026-04-29,Madrid,Clay,ATP Madrid - Quarter-finals,A. Fils,J. Lehecka,,,,,2-0,Completed,api-tennis,M,A,a. fils,j. lehecka,,
2026-04-29,Madrid,Clay,ATP Madrid - Quarter-finals,J. Sinner,R. Jodar,,,,,2-0,Completed,api-tennis,M,A,j. sinner,r. jodar,,
2026-04-30,Madrid,Clay,ATP Madrid - Quarter-finals,A. Blockx,C. Ruud,,,,,2-0,Completed,api-tennis,M,A,a. blockx,c. ruud,,
2026-04-30,Madrid,Clay,ATP Madrid - Quarter-finals,A. Zverev,F. Cobolli,,,,,2-0,Completed,api-tennis,M,A,a. zverev,f. cobolli,,
2026-05-01,Madrid,Clay,ATP Madrid - Semi-finals,J. Sinner,A. Fils,,,,,2-0,Completed,api-tennis,M,A,j. sinner,a. fils,,
2026-05-01,Madrid,Clay,ATP Madrid - Semi-finals,A. Zverev,A. Blockx,,,,,2-0,Completed,api-tennis,M,A,a. zverev,a. blockx,,
2026-05-03,Madrid,Clay,ATP Madrid - Final,J. Sinner,A. Zverev,,,,,2-0,Completed,api-tennis,M,A,j. sinner,a. zverev,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,A. Pellegrino,H. Gaston,,,,,2-0,Completed,api-tennis,M,A,a. pellegrino,h. gaston,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,F. Bondioli,E. Nava,,,,,2-1,Completed,api-tennis,M,A,f. bondioli,e. nava,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,A. Kovacevic,L. Carboni,,,,,2-0,Completed,api-tennis,M,A,a. kovacevic,l. carboni,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,M. Landaluce,C. O'Connell,,,,,2-0,Completed,api-tennis,M,A,m. landaluce,c. o'connell,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,J. Fearnley,S. Mochizuki,,,,,2-0,Completed,api-tennis,M,A,j. fearnley,s. mochizuki,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,N. Basilashvili,E. Moller,,,,,2-1,Completed,api-tennis,M,A,n. basilashvili,e. moller,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,R. Hijikata,P. Basile,,,,,2-1,Completed,api-tennis,M,A,r. hijikata,p. basile,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,T. Droguet,J. C. Martin Manzano,,,,,2-1,Completed,api-tennis,M,A,t. droguet,j. c. martin manzano,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,J. Faria,D. Vallejo,,,,,2-1,Completed,api-tennis,M,A,j. faria,d. vallejo,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,P. Llamas Ruiz,H. Rocha,,,,,2-1,Completed,api-tennis,M,A,p. llamas ruiz,h. rocha,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,D. Prizmic,C. Rodesch,,,,,2-0,Completed,api-tennis,M,A,d. prizmic,c. rodesch,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,N. Budkov Kjaer,O. Virtanen,,,,,2-1,Completed,api-tennis,M,A,n. budkov kjaer,o. virtanen,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,D. Svrcina,B. Bonzi,,,,,2-0,Completed,api-tennis,M,A,d. svrcina,b. bonzi,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,H. Dellien,L. van Assche,,,,,2-0,Completed,api-tennis,M,A,h. dellien,l. van assche,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,F. Comesana,B. Harris,,,,,2-0,Completed,api-tennis,M,A,f. comesana,b. harris,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,C. Garin,M. Echargui,,,,,2-0,Completed,api-tennis,M,A,c. garin,m. echargui,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,D. Merida Aguilar,M. McDonald,,,,,2-0,Completed,api-tennis,M,A,d. merida aguilar,m. mcdonald,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,T. Barrios Vera,J. Vasami,,,,,2-0,Completed,api-tennis,M,A,t. barrios vera,j. vasami,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,J. De Jong,P. Martinez,,,,,2-0,Completed,api-tennis,M,A,j. de jong,p. martinez,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,P. Kypson,J. Pinnington Jones,,,,,2-1,Completed,api-tennis,M,A,p. kypson,j. pinnington jones,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,J. Choinski,D. Lajovic,,,,,2-0,Completed,api-tennis,M,A,j. choinski,d. lajovic,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,L. Riedi,V. Gaubas,,,,,2-0,Completed,api-tennis,M,A,l. riedi,v. gaubas,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,S. Wawrinka,S. Travaglia,,,,,2-1,Completed,api-tennis,M,A,s. wawrinka,s. travaglia,,
2026-05-04,Rome,Clay,ATP Rome - Semi-finals,P. Carreno-Busta,M. Damm,,,,,2-0,Completed,api-tennis,M,A,p. carreno-busta,m. damm,,
